# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     71.15     -72.79       0.00       0.00       0.00       0.00       0.85       0.06   221.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_100rns\2y00_m1\gold_soln_2y00_m1_51.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\2y00 2y00 1'
     79.85     -75.50       2.00       0.00       0.00       0.00       0.97       0.30   14.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_100rns\2y02_m1\gold_soln_2y02_m1_3.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_2y02.pdb L_2y02.pdb 1'
     54.84     -52.88       0.80       0.00       0.00       0.00       0.78       1.13    1.001  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_100rns\3zpq_m1\gold_soln_3zpq_m1_2.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_3zpq.pdb L_3zpq.pdb 1'
     91.75     -87.57       2.00       0.00       0.00       1.25       1.15       0.96   597.001  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_100rns\4amj_m1\gold_soln_4amj_m1_1.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_4amj.pdb L_4amj.pdb 1'
     60.53     -56.42       2.00       0.00       0.00       0.00       1.00       0.11   13.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_100rns\4bvn_m1\gold_soln_4bvn_m1_2.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_4bvn.pdb L_4bvn.pdb 1'
     61.79     -60.33       1.00       0.00       0.00       0.00       0.84       0.14   19.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_100rns\5a8e_m1\gold_soln_5a8e_m1_5.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_5a8e.pdb L_5a8e.pdb 1'
     53.13     -50.27       1.00       0.00       0.00       0.00       0.08       0.01    8.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_100rns\6h7j_m1\gold_soln_6h7j_m1_2.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6h7j.pdb L_6h7j.pdb 1'
     56.90     -55.62       1.00       0.00       0.00       0.00       0.92       0.08   15.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_100rns\6h7m_m1\gold_soln_6h7m_m1_2.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6h7m.pdb L_6h7m.pdb 1'
     74.03     -69.27       2.78       0.00       0.00       0.00       1.95       0.22   513.001  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_100rns\6h7n_m1\gold_soln_6h7n_m1_46.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6h7n.pdb L_6h7n.pdb 1'
     75.37     -72.73       2.00       0.00       0.00       0.00       1.93       0.49   14.000  'C:/Users/student/Desktop/project/beta1/GoldOut_beta1_100rns\6ibl_m1\gold_soln_6ibl_m1_2.mol2'  'C:\Users\porto\OneDrive\projekt\beta1\ligandy\L_6ibl.pdb L_6ibl.pdb 1'
